"International Visitors--
   1) Country of Residence
   2) 1+ nights in the USA
   3)  Among qualified visa types";"World 
Region";;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Falkland Islands;South America;; - - -;-12,4 %;7,1 %;-11,3 %;-21,3 %;2,7 %;3,9 %;-19,0 %;103,1 %;-15,4 %;-53,6 %;19,6 %;27,9 %;19,2 %;-6,5 %;-21,8 %;-11,8 %;18,3 %;54,9 %;-20,9 %;-46,0 %;-57,4 %;450,0 %;63,6 %;-11,1 %
Faroe Islands;Western Europe;; - - -;;;;;;;;;;;;;;4200,0 %;-3,2 %;0,9 %;-7,4 %;6,4 %;31,7 %;-88,8 %;-59,2 %;1180,0 %;31,3 %;23,8 %
Fiji;Oceania;; - - -;-15,1 %;-29,0 %;-17,1 %;8,1 %;32,8 %;-1,7 %;9,0 %;-2,2 %;-10,6 %;40,7 %;9,9 %;1,5 %;16,0 %;-10,5 %;8,7 %;7,6 %;-16,1 %;12,2 %;1,5 %;-83,3 %;-26,5 %;611,4 %;23,9 %;12,2 %
Finland;Western Europe;; - - -;-22,2 %;-11,0 %;4,5 %;16,0 %;13,4 %;-1,4 %;9,4 %;23,2 %;-3,4 %;-2,2 %;9,9 %;3,0 %;5,7 %;6,1 %;9,3 %;-3,0 %;-3,3 %;-3,0 %;0,8 %;-79,5 %;-58,7 %;559,5 %;28,5 %;4,8 %
France;Western Europe;; - - -;-19,4 %;-16,2 %;-6,2 %;12,5 %;13,3 %;-10,1 %;26,3 %;24,7 %;-3,2 %;11,4 %;15,6 %;-4,3 %;7,9 %;4,7 %;5,5 %;-7,1 %;1,6 %;6,0 %;4,3 %;-83,8 %;-25,4 %;493,5 %;20,9 %;7,1 %
French Guiana;South America;; - - -;6,3 %;-44,0 %;8,5 %;77,5 %;28,7 %;15,5 %;12,6 %;3,6 %;70,7 %;14,2 %;24,3 %;39,7 %;-0,4 %;51,6 %;-14,1 %;-36,4 %;22,7 %;77,7 %;7,7 %;-89,4 %;-57,5 %;960,2 %;29,0 %;47,2 %
French Polynesia;Oceania;; - - -;-32,0 %;-5,1 %;11,9 %;16,3 %;40,3 %;-2,9 %;23,9 %;8,5 %;35,6 %;-25,5 %;8,7 %;-43,9 %;34,4 %;9,4 %;-46,8 %;-24,5 %;-45,1 %;175,8 %;46,7 %;-75,3 %;5,1 %;449,4 %;32,3 %;13,2 %
Gabon;Africa;; - - -;-14,7 %;-13,9 %;-4,9 %;8,4 %;26,3 %;-6,8 %;17,3 %;20,2 %;-10,1 %;13,2 %;18,9 %;6,3 %;7,5 %;14,4 %;-0,4 %;-3,4 %;-10,6 %;-0,5 %;-0,9 %;-79,1 %;46,1 %;125,0 %;25,2 %;1,1 %
Gambia;Africa;; - - -;-21,2 %;44,8 %;-14,0 %;-29,4 %;-9,1 %;-31,0 %;7,5 %;-0,2 %;34,6 %;25,9 %;1,6 %;-22,6 %;8,8 %;0,4 %;-13,8 %;-0,9 %;-3,1 %;3,6 %;8,6 %;-75,2 %;60,0 %;72,1 %;43,4 %;5,0 %
Georgia;Eastern Europe;; - - -;-0,9 %;21,6 %;18,6 %;-9,5 %;-16,0 %;9,4 %;-2,2 %;18,3 %;-0,7 %;17,9 %;2,9 %;12,3 %;25,9 %;41,5 %;27,5 %;-13,3 %;-67,7 %;-95,7 %;9342,3 %;-76,5 %;84,4 %;70,7 %;36,3 %;14,2 %
Germany;Western Europe;; - - -;-26,4 %;-9,4 %;-0,8 %;11,8 %;7,2 %;-2,1 %;10,0 %;16,9 %;-5,4 %;2,3 %;8,6 %;2,0 %;5,8 %;2,6 %;10,2 %;-10,4 %;1,7 %;-0,9 %;0,1 %;-85,8 %;-15,2 %;494,4 %;24,1 %;8,5 %
Ghana;Africa;; - - -;6,9 %;10,3 %;9,5 %;-10,0 %;-18,9 %;-16,1 %;15,1 %;26,5 %;-7,8 %;8,7 %;8,1 %;4,4 %;10,0 %;0,3 %;-2,0 %;3,8 %;2,5 %;21,8 %;8,7 %;-82,2 %;140,7 %;93,4 %;45,7 %;15,3 %
Gibraltar;Western Europe;; - - -;-31,8 %;-25,7 %;21,9 %;58,9 %;25,3 %;-6,0 %;5,5 %;24,1 %;-19,5 %;-21,3 %;-24,3 %;14,5 %;22,4 %;1,7 %;7,3 %;-14,0 %;-19,7 %;62,0 %;3,7 %;-87,1 %;-0,9 %;531,8 %;9,6 %;-6,6 %
Greece;Western Europe;; - - -;-19,5 %;-9,2 %;-8,6 %;5,4 %;15,3 %;0,2 %;16,8 %;9,4 %;-11,0 %;13,8 %;0,2 %;-8,0 %;7,2 %;1,0 %;10,7 %;4,3 %;11,0 %;0,2 %;2,3 %;-83,0 %;12,4 %;314,4 %;18,7 %;14,2 %
Grenada;Caribbean;; - - -;-16,9 %;-17,3 %;4,9 %;15,7 %;-7,0 %;1,2 %;1,7 %;4,2 %;-5,4 %;3,7 %;-3,9 %;-8,8 %;11,7 %;-3,4 %;19,7 %;-0,7 %;8,7 %;6,2 %;14,1 %;-83,4 %;133,3 %;91,3 %;53,5 %;15,1 %
Guadeloupe;Caribbean;; - - -;-27,4 %;-15,5 %;-4,3 %;10,0 %;18,4 %;-17,3 %;17,4 %;28,1 %;2,2 %;-17,7 %;-23,0 %;-3,1 %;-10,6 %;-21,4 %;29,5 %;-8,6 %;4,4 %;73,9 %;-1,1 %;-84,0 %;72,3 %;93,5 %;28,3 %;16,8 %
Guatemala;Central America;; - - -;-7,4 %;-5,6 %;-6,5 %;6,6 %;5,0 %;2,2 %;15,8 %;-6,5 %;0,7 %;-0,7 %;-1,5 %;4,3 %;9,2 %;6,0 %;4,9 %;9,3 %;-1,6 %;8,1 %;3,5 %;-71,6 %;249,5 %;-8,3 %;26,8 %;14,2 %
Guinea;Africa;; - - -;3,6 %;-17,2 %;10,3 %;-10,9 %;-20,0 %;-4,1 %;-6,8 %;-6,9 %;-22,2 %;-15,9 %;14,3 %;12,0 %;-12,2 %;32,1 %;0,1 %;26,0 %;-6,0 %;-1,8 %;-4,5 %;-79,2 %;33,6 %;149,6 %;66,2 %;27,5 %
Guinea-Bissau;Africa;; - - -;-9,9 %;-53,1 %;-50,0 %;-20,0 %;100,0 %;-4,2 %;-21,7 %;38,9 %;-4,0 %;54,2 %;24,3 %;-28,3 %;257,6 %;40,7 %;4,2 %;4,0 %;-1,1 %;10,1 %;0,0 %;-77,6 %;109,1 %;91,3 %;6,3 %;10,7 %
Guyana;South America;; - - -;-2,8 %;14,2 %;-17,4 %;-7,6 %;8,9 %;-11,8 %;-3,1 %;-5,7 %;13,9 %;5,6 %;7,4 %;40,6 %;28,5 %;22,1 %;38,0 %;21,7 %;-2,3 %;-8,4 %;-6,0 %;-78,0 %;224,1 %;34,2 %;29,4 %;21,3 %
Haiti;Caribbean;; - - -;-9,7 %;-8,8 %;0,5 %;1,3 %;5,7 %;-7,9 %;42,3 %;9,4 %;-12,2 %;8,4 %;-4,2 %;2,1 %;13,4 %;17,2 %;10,2 %;17,8 %;-7,8 %;-3,7 %;-3,6 %;-61,7 %;44,2 %;-10,6 %;-17,3 %;-19,5 %
Heard Island and McDonald Islands;Oceania;; - - -;;;;;;;;;;;;;;533,3 %;15,8 %;-22,7 %;-41,2 %;70,0 %;5,9 %;-66,7 %;-50,0 %;500,0 %;105,6 %;54,1 %
Holy See/Vatican;Western Europe;; - - -;-32,1 %;-57,9 %;62,5 %;-46,2 %;100,0 %;-42,9 %;87,5 %;26,7 %;-21,1 %;113,3 %;84,4 %;-10,2 %;98,1 %;1,0 %;7,5 %;-11,4 %;-5,9 %;68,4 %;6,3 %;-58,2 %;-9,9 %;140,6 %;8,4 %;18,6 %
Honduras;Central America;; - - -;-3,4 %;-2,7 %;-3,8 %;4,1 %;4,9 %;3,0 %;20,1 %;5,3 %;-1,3 %;0,2 %;4,8 %;6,3 %;13,8 %;6,2 %;12,7 %;12,2 %;5,0 %;3,3 %;2,9 %;-68,5 %;250,0 %;-2,4 %;27,5 %;7,7 %
Hong Kong;Asia;; - - -;-16,2 %;-20,5 %;-15,7 %;8,1 %;9,5 %;1,6 %;3,7 %;-2,1 %;-16,7 %;13,5 %;-0,6 %;1,3 %;-4,4 %;-3,3 %;8,8 %;-0,6 %;10,9 %;3,1 %;2,3 %;-85,4 %;-56,6 %;340,2 %;115,9 %;14,0 %
Hungary;Eastern Europe;; - - -;-23,4 %;-22,8 %;-8,6 %;2,2 %;14,1 %;-0,1 %;8,6 %;4,3 %;15,6 %;5,2 %;16,6 %;-2,3 %;7,6 %;8,6 %;14,5 %;0,5 %;10,4 %;8,0 %;6,6 %;-82,8 %;-37,5 %;487,6 %;24,8 %;10,2 %
Iceland;Western Europe;; - - -;-24,6 %;-10,4 %;14,4 %;25,2 %;45,4 %;8,2 %;11,1 %;-12,1 %;-30,7 %;37,3 %;28,1 %;-7,5 %;6,5 %;1,9 %;12,3 %;2,3 %;14,7 %;10,6 %;-17,9 %;-85,1 %;-5,7 %;420,5 %;-2,0 %;5,5 %
India;Asia;; - - -;-1,7 %;-4,6 %;5,8 %;13,5 %;11,7 %;18,0 %;39,4 %;5,6 %;-8,3 %;18,5 %;6,9 %;7,4 %;21,1 %;8,8 %;16,4 %;5,1 %;6,5 %;7,2 %;6,9 %;-77,2 %;29,0 %;190,1 %;40,2 %;24,3 %
Indian Ocean Areas (French);Asia;; - - -;;;;;;;;;;;;;;;;;;;;;;;;
Indian Ocean Territory;Asia;; - - -;;;;;;;;;;;;;;266,7 %;-18,2 %;22,2 %;322,7 %;201,1 %;1,4 %;-76,8 %;71,2 %;190,3 %;27,4 %;-6,7 %
Indonesia;Asia;; - - -;-16,4 %;-23,2 %;-11,1 %;12,7 %;12,3 %;3,0 %;1,3 %;-8,3 %;1,8 %;8,6 %;26,6 %;10,4 %;21,4 %;6,7 %;-1,0 %;3,3 %;5,5 %;2,4 %;7,4 %;-86,4 %;106,8 %;128,4 %;33,6 %;-5,4 %
Iran;Middle East;; - - -;-8,8 %;-41,5 %;-30,9 %;24,8 %;23,6 %;11,4 %;9,8 %;-6,5 %;66,3 %;13,0 %;31,8 %;1,3 %;24,7 %;42,5 %;3,8 %;-14,9 %;-35,2 %;-68,4 %;10,1 %;-78,2 %;203,0 %;219,3 %;59,9 %;12,9 %
Iraq;Middle East;; - - -;76,7 %;-43,0 %;-18,3 %;136,7 %;8,1 %;-12,2 %;-20,6 %;10,7 %;44,8 %;74,7 %;81,6 %;66,6 %;67,9 %;23,5 %;-19,0 %;20,3 %;-19,8 %;-9,9 %;16,6 %;-76,1 %;-69,1 %;1018,8 %;67,3 %;-1,6 %
Ireland;Western Europe;; - - -;-3,1 %;-6,2 %;-2,1 %;35,7 %;11,1 %;8,1 %;18,5 %;8,2 %;-22,6 %;-12,3 %;-1,9 %;-5,3 %;14,0 %;5,1 %;12,5 %;-1,9 %;9,2 %;9,8 %;-1,9 %;-84,6 %;-38,5 %;715,0 %;13,0 %;8,6 %
Israel;Middle East;; - - -;-6,1 %;-13,9 %;-5,3 %;10,6 %;3,2 %;-0,1 %;10,3 %;6,1 %;-7,2 %;-0,4 %;1,2 %;-3,1 %;14,9 %;4,4 %;13,2 %;4,0 %;-0,9 %;4,3 %;2,6 %;-81,2 %;145,6 %;70,5 %;6,0 %;10,8 %
Italy;Western Europe;; - - -;-22,9 %;-14,0 %;0,6 %;15,2 %;15,9 %;-2,3 %;19,0 %;22,9 %;-3,4 %;11,3 %;8,3 %;-7,0 %;4,9 %;9,6 %;7,7 %;-5,4 %;4,4 %;4,0 %;1,2 %;-87,1 %;-3,5 %;429,1 %;36,1 %;15,0 %
Jamaica;Caribbean;; - - -;-5,7 %;-19,7 %;-13,3 %;2,2 %;7,5 %;16,9 %;8,1 %;-7,5 %;-9,5 %;-3,6 %;-9,6 %;-0,6 %;12,4 %;16,0 %;19,7 %;11,1 %;-0,0 %;4,5 %;0,8 %;-72,4 %;97,8 %;29,2 %;35,0 %;10,5 %
Japan;Asia;; - - -;-19,3 %;-11,2 %;-12,6 %;18,2 %;3,6 %;-5,4 %;-3,8 %;-8,0 %;-10,2 %;16,0 %;-1,7 %;13,3 %;3,1 %;-6,0 %;3,8 %;-5,0 %;-0,2 %;-2,8 %;7,4 %;-81,4 %;-82,6 %;391,6 %;154,2 %;21,4 %
Jordan;Middle East;; - - -;6,7 %;-33,3 %;-4,4 %;4,0 %;19,5 %;0,4 %;5,8 %;0,9 %;-1,0 %;5,8 %;14,7 %;11,0 %;20,2 %;21,0 %;21,7 %;2,4 %;0,1 %;-1,9 %;-4,7 %;-75,4 %;80,4 %;42,9 %;55,3 %;-2,8 %
Kampuchea;Asia;; - - -;42,5 %;-22,1 %;21,0 %;11,7 %;-12,2 %;-20,6 %;5,9 %;3,7 %;-13,1 %;12,8 %;-5,9 %;20,2 %;37,8 %;-13,5 %;-3,0 %;34,0 %;1,9 %;21,7 %;22,6 %;-85,9 %;88,9 %;330,9 %;40,6 %;5,5 %
Kazakhstan;Asia;; - - -;9,0 %;-0,2 %;-6,9 %;12,8 %;31,9 %;12,8 %;32,2 %;22,7 %;-7,4 %;28,3 %;21,4 %;16,3 %;15,5 %;17,7 %;7,6 %;-5,5 %;23,2 %;2,4 %;5,7 %;-74,6 %;61,0 %;84,5 %;49,2 %;17,7 %
Kenya;Africa;; - - -;45,1 %;-16,3 %;-19,5 %;7,7 %;-5,7 %;5,6 %;10,5 %;5,0 %;-8,5 %;-4,2 %;-6,7 %;8,1 %;14,0 %;19,1 %;13,7 %;6,6 %;17,2 %;13,5 %;5,9 %;-79,6 %;82,6 %;64,3 %;38,1 %;12,8 %
Kiribati;Oceania;; - - -;-9,5 %;-10,7 %;6,0 %;-17,2 %;-28,3 %;-50,5 %;18,0 %;4,7 %;41,7 %;-8,5 %;16,7 %;-21,6 %;14,4 %;-39,6 %;9,2 %;29,8 %;-24,7 %;-17,8 %;21,7 %;-84,5 %;-55,6 %;616,7 %;39,5 %;75,0 %
Kosovo;Eastern Europe;; - - -;;;;;;;;;;;;;;740,3 %;7,5 %;6,9 %;-10,1 %;54,7 %;-24,6 %;-62,3 %;-75,9 %;-100,0 %;;
Kuwait;Middle East;; - - -;-4,6 %;-37,8 %;-3,0 %;10,7 %;20,5 %;13,6 %;19,2 %;13,7 %;5,8 %;11,4 %;20,2 %;17,0 %;12,0 %;26,9 %;13,1 %;-1,1 %;-18,6 %;3,4 %;-2,3 %;-76,2 %;46,5 %;70,1 %;9,7 %;-5,4 %
Kyrgyzstan;Asia;; - - -;-12,1 %;-3,9 %;-21,6 %;6,8 %;-5,1 %;37,7 %;28,4 %;16,5 %;2,2 %;34,2 %;11,2 %;5,3 %;54,4 %;-21,4 %;-4,8 %;24,8 %;-31,2 %;80,5 %;10,0 %;-67,7 %;59,2 %;147,6 %;73,1 %;41,6 %
Laos;Asia;; - - -;53,9 %;-26,0 %;-19,7 %;24,8 %;44,6 %;6,6 %;7,6 %;-23,9 %;-26,6 %;-26,7 %;-11,0 %;24,6 %;147,2 %;-20,5 %;-11,3 %;15,1 %;-6,2 %;13,1 %;0,5 %;-90,4 %;-73,9 %;3116,7 %;55,8 %;-46,0 %
Latvia;Eastern Europe;; - - -;-13,2 %;-5,6 %;-10,1 %;9,6 %;20,6 %;10,2 %;26,5 %;5,3 %;10,1 %;2,3 %;15,0 %;15,7 %;2,3 %;8,3 %;11,7 %;2,3 %;9,4 %;-4,3 %;3,4 %;-79,7 %;-18,2 %;350,3 %;25,8 %;13,3 %
Lebanon;Middle East;; - - -;4,3 %;-25,2 %;-10,6 %;16,1 %;3,1 %;2,2 %;21,2 %;-5,2 %;-1,6 %;4,9 %;15,8 %;11,0 %;35,3 %;14,2 %;1,6 %;2,8 %;-6,3 %;0,9 %;-1,1 %;-74,1 %;50,9 %;58,5 %;25,2 %;5,5 %
Lesotho;Africa;; - - -;-23,9 %;9,7 %;-26,1 %;15,4 %;15,9 %;-13,4 %;3,9 %;1,7 %;5,3 %;15,1 %;17,4 %;8,0 %;-18,3 %;6,5 %;14,0 %;1,1 %;3,2 %;15,1 %;-12,7 %;-83,2 %;-21,2 %;359,6 %;62,3 %;8,0 %
Liberia;Africa;; - - -;-38,1 %;-40,9 %;-39,4 %;22,4 %;-35,5 %;45,9 %;79,2 %;-23,1 %;-19,3 %;42,1 %;25,5 %;54,1 %;16,1 %;29,1 %;-1,9 %;-14,1 %;-5,4 %;-2,3 %;-12,7 %;-84,7 %;-6,9 %;131,9 %;76,0 %;3,5 %
Libya;Africa;; - - -;-4,7 %;-25,1 %;-6,1 %;32,7 %;105,3 %;32,7 %;105,3 %;177,7 %;-29,2 %;52,9 %;-73,9 %;120,3 %;22,4 %;-7,3 %;-25,9 %;-37,8 %;-45,4 %;-59,3 %;32,3 %;-65,6 %;144,4 %;196,7 %;44,6 %;70,0 %
Liechtenstein;Western Europe;; - - -;-17,8 %;-24,5 %;-11,9 %;12,4 %;4,2 %;14,1 %;1,9 %;11,0 %;13,0 %;1,7 %;20,5 %;-6,1 %;2,5 %;5,6 %;10,9 %;-19,7 %;0,4 %;3,3 %;7,1 %;-87,3 %;0,7 %;400,7 %;29,6 %;6,7 %
Lithuania;Eastern Europe;; - - -;25,9 %;-17,4 %;-20,5 %;-7,2 %;-0,5 %;5,9 %;28,6 %;19,8 %;25,6 %;-38,0 %;-50,1 %;-9,9 %;288,5 %;41,5 %;19,5 %;5,9 %;17,0 %;-2,5 %;8,0 %;-82,0 %;-9,1 %;393,1 %;27,3 %;12,6 %
Luxembourg;Western Europe;; - - -;-26,2 %;-20,2 %;-1,3 %;12,5 %;14,3 %;-0,3 %;19,8 %;28,1 %;-3,4 %;-1,9 %;1,7 %;-3,0 %;9,6 %;2,5 %;12,9 %;-12,9 %;-10,9 %;26,6 %;11,6 %;-87,0 %;-17,7 %;581,2 %;28,0 %;0,5 %
Macao SAR;Asia;; - - -;-21,6 %;-25,6 %;-7,1 %;7,1 %;26,2 %;-0,9 %;10,2 %;9,6 %;-11,3 %;9,4 %;-0,5 %;6,1 %;-12,4 %;1,6 %;9,9 %;22,9 %;16,0 %;-9,3 %;-23,3 %;-53,6 %;-41,3 %;77,6 %;90,2 %;20,1 %
Macedonia;Western Europe;; - - -;4,2 %;15,0 %;-8,4 %;-15,6 %;0,9 %;19,8 %;17,0 %;2,2 %;-5,8 %;13,2 %;14,9 %;4,9 %;4,5 %;5,9 %;11,9 %;9,1 %;16,1 %;2,8 %;-1,8 %;-74,6 %;50,5 %;105,1 %;52,4 %;6,2 %
Madagascar;Africa;; - - -;-4,2 %;-26,3 %;-0,2 %;-9,0 %;30,6 %;10,5 %;9,6 %;22,6 %;-11,4 %;-9,9 %;8,3 %;5,9 %;11,7 %;26,4 %;5,0 %;7,5 %;-0,2 %;16,5 %;12,0 %;-82,1 %;1,0 %;360,6 %;36,8 %;2,7 %
Malawi;Africa;; - - -;-2,4 %;-9,0 %;-9,4 %;-0,5 %;13,4 %;-14,8 %;13,7 %;8,7 %;-7,2 %;10,0 %;4,5 %;9,8 %;5,6 %;11,0 %;23,5 %;4,1 %;-3,6 %;7,5 %;-14,9 %;-75,8 %;10,0 %;270,4 %;40,6 %;1,8 %
Malaysia;Asia;; - - -;-29,7 %;-22,2 %;-15,9 %;32,5 %;13,3 %;-1,6 %;10,2 %;-2,7 %;-20,2 %;24,9 %;13,3 %;11,6 %;18,1 %;4,0 %;-2,1 %;-1,3 %;0,4 %;8,0 %;-1,1 %;-85,4 %;-19,1 %;305,3 %;58,0 %;6,2 %
Maldives;Asia;; - - -;-21,8 %;-25,8 %;13,9 %;13,4 %;61,3 %;17,3 %;41,5 %;-2,4 %;-25,5 %;-17,7 %;10,1 %;15,9 %;37,9 %;37,8 %;-14,7 %;25,6 %;-33,1 %;8,5 %;34,9 %;-80,7 %;97,3 %;195,8 %;27,2 %;-5,0 %
Mali;Africa;; - - -;-4,2 %;-28,7 %;-1,4 %;-45,3 %;14,1 %;58,1 %;4,1 %;17,8 %;-4,8 %;-0,3 %;-1,1 %;-25,0 %;34,7 %;2,9 %;-1,1 %;12,7 %;-4,9 %;11,5 %;0,3 %;-77,4 %;95,9 %;49,4 %;33,2 %;14,3 %
Malta;Western Europe;; - - -;-20,8 %;-32,9 %;-9,0 %;26,4 %;1,0 %;-16,5 %;17,0 %;-0,4 %;-3,2 %;9,8 %;-5,9 %;7,0 %;4,6 %;-0,6 %;7,0 %;3,7 %;3,8 %;15,6 %;14,4 %;-86,4 %;2,7 %;458,4 %;36,9 %;9,6 %
Marshall Islands;Oceania;; - - -;;;;;;;;;;;;4,3 %;-20,7 %;-22,5 %;-25,7 %;-3,6 %;18,9 %;-23,0 %;58,8 %;-61,7 %;-11,9 %;105,8 %;59,8 %;31,0 %
Martinique;Caribbean;; - - -;-24,3 %;-19,7 %;-2,0 %;-6,3 %;4,0 %;-17,4 %;49,0 %;15,5 %;-2,0 %;-3,8 %;-7,8 %;-12,2 %;-27,6 %;41,8 %;14,3 %;-23,5 %;-9,9 %;55,5 %;-9,4 %;-88,4 %;16,5 %;188,4 %;27,6 %;74,7 %
Mauritania;Africa;; - - -;9,8 %;-28,1 %;1,1 %;3,2 %;7,4 %;-20,6 %;-16,5 %;14,3 %;4,9 %;28,2 %;-12,1 %;3,0 %;69,8 %;52,0 %;-5,8 %;-6,4 %;-37,1 %;-14,7 %;79,9 %;-71,5 %;-16,4 %;90,7 %;21,6 %;9,0 %
Mauritius;Africa;; - - -;-17,0 %;-46,4 %;-17,1 %;19,3 %;48,9 %;17,1 %;8,4 %;12,3 %;12,9 %;25,8 %;9,9 %;16,1 %;13,4 %;3,9 %;-1,4 %;6,8 %;0,7 %;11,5 %;14,7 %;-83,5 %;-18,2 %;375,1 %;39,2 %;23,9 %
Mayotte;Africa;; - - -;;;;;;;;;;;;;;545,5 %;-8,5 %;-35,4 %;-31,0 %;89,7 %;32,7 %;45,2 %;-55,7 %;102,1 %;31,6 %;8,8 %
Mexico;North America;; - - -;-5,2 %;0,5 %;-1,9 %;5,9 %;217,1 %;5,1 %;8,8 %;-5,0 %;-2,8 %;0,7 %;1,0 %;4,4 %;2,5 %;17,3 %;7,6 %;3,4 %;-6,3 %;3,4 %;-0,3 %;-62,9 %;55,3 %;17,6 %;15,5 %;18,3 %
Micronesia;Oceania;; - - -;;;;;;;;;;;;4,9 %;29,9 %;-7,2 %;-4,0 %;-9,4 %;-12,7 %;61,5 %;-10,3 %;-79,3 %;-45,2 %;358,8 %;113,5 %;12,3 %
Moldova;Eastern Europe;; - - -;-28,7 %;1,6 %;21,2 %;16,4 %;31,6 %;16,6 %;32,1 %;12,7 %;4,8 %;21,4 %;11,7 %;18,6 %;20,1 %;-1,3 %;11,6 %;9,8 %;-9,4 %;2,7 %;15,5 %;-67,3 %;37,3 %;57,6 %;33,2 %;-1,8 %
Monaco;Western Europe;; - - -;-19,1 %;-15,4 %;-3,7 %;11,6 %;12,9 %;3,8 %;13,9 %;15,6 %;-3,5 %;-23,2 %;-15,6 %;3,3 %;-1,9 %;-5,1 %;4,0 %;-8,5 %;-20,6 %;38,7 %;26,5 %;-80,7 %;9,8 %;230,3 %;12,3 %;-12,1 %
Mongolia;Asia;; - - -;;;;;;;;;;;;2,6 %;23,8 %;15,5 %;8,0 %;2,3 %;-3,4 %;9,4 %;10,7 %;-80,6 %;36,3 %;157,6 %;32,7 %;39,6 %
Montenegro;Western Europe;; - - -;;;;;;;;;;;;;;635,6 %;25,7 %;5,4 %;-23,5 %;65,2 %;-8,9 %;-72,3 %;7,5 %;111,5 %;42,5 %;18,7 %
Montserrat;Caribbean;; - - -;-29,2 %;-10,6 %;7,1 %;16,4 %;-3,5 %;9,7 %;-11,3 %;-4,6 %;-18,3 %;-42,0 %;-43,6 %;6,2 %;42,7 %;5,8 %;-13,5 %;4,1 %;-28,6 %;57,5 %;28,3 %;-80,7 %;52,6 %;73,9 %;54,1 %;-5,3 %
Morocco;Africa;; - - -;-10,3 %;-27,1 %;-4,9 %;5,7 %;7,1 %;-1,2 %;4,9 %;18,0 %;3,0 %;10,3 %;14,2 %;2,7 %;15,7 %;8,9 %;9,5 %;2,9 %;-7,5 %;-1,3 %;19,5 %;-79,1 %;62,5 %;155,7 %;27,7 %;14,4 %
Mozambique;Africa;; - - -;-7,0 %;-22,7 %;-12,3 %;10,6 %;13,6 %;-5,9 %;1,6 %;26,7 %;21,3 %;-1,7 %;10,0 %;19,8 %;59,2 %;14,1 %;-12,8 %;-11,2 %;1,4 %;11,8 %;-5,2 %;-81,0 %;9,3 %;216,8 %;40,6 %;-12,1 %
Namibia;Africa;; - - -;-10,8 %;-13,5 %;3,3 %;13,3 %;-2,8 %;7,2 %;12,3 %;3,1 %;0,4 %;14,3 %;23,6 %;6,6 %;-0,6 %;2,6 %;8,0 %;-2,6 %;14,1 %;-0,6 %;5,8 %;-72,9 %;-9,6 %;196,8 %;27,4 %;2,0 %
Nauru;Oceania;; - - -;-72,3 %;-70,5 %;-53,8 %;5,6 %;15,8 %;-36,4 %;28,6 %;-33,3 %;25,0 %;433,3 %;17,5 %;-5,3 %;43,8 %;1,6 %;-9,2 %;24,6 %;-29,3 %;1,0 %;-24,8 %;-84,8 %;8,3 %;207,7 %;152,5 %;80,2 %
Nepal;Asia;; - - -;32,9 %;11,0 %;3,7 %;2,8 %;25,9 %;20,3 %;21,7 %;23,7 %;-19,0 %;5,1 %;3,7 %;1,2 %;9,7 %;26,1 %;43,0 %;20,9 %;1,8 %;0,3 %;5,2 %;-75,9 %;126,7 %;63,4 %;41,0 %;14,3 %
Netherlands;Western Europe;; - - -;-25,6 %;-6,6 %;-2,8 %;13,7 %;5,6 %;-0,4 %;13,4 %;19,9 %;-9,9 %;4,1 %;8,8 %;-1,9 %;3,5 %;2,4 %;12,9 %;-7,4 %;3,9 %;3,5 %;0,3 %;-84,7 %;-22,9 %;451,1 %;21,0 %;8,2 %
Netherlands Antilles;Caribbean;; - - -;-12,8 %;10,8 %;-6,7 %;3,7 %;5,2 %;5,6 %;6,1 %;-1,1 %;-34,2 %;-38,3 %;-59,1 %;-16,6 %;-42,0 %;-35,7 %;14,3 %;-53,5 %;-2,9 %;31,0 %;-18,3 %;-84,4 %;472,9 %;-20,6 %;20,3 %;9,3 %
New Caledonia;Oceania;; - - -;-16,1 %;-30,6 %;-6,2 %;16,1 %;14,1 %;-10,5 %;9,2 %;29,0 %;-9,1 %;-46,4 %;-36,8 %;-7,9 %;94,5 %;-8,9 %;-3,6 %;-30,0 %;2,2 %;81,3 %;12,6 %;-77,9 %;-76,5 %;845,8 %;78,7 %;-5,8 %
New Zealand;Oceania;; - - -;-16,2 %;-24,0 %;-2,2 %;18,8 %;9,7 %;-0,9 %;6,7 %;-1,6 %;-9,8 %;33,3 %;10,2 %;-2,5 %;30,1 %;8,2 %;12,2 %;-1,3 %;0,4 %;4,2 %;-2,3 %;-85,4 %;-73,3 %;1081,0 %;82,6 %;1,7 %
Nicaragua;Central America;; - - -;-7,3 %;-16,3 %;2,4 %;2,9 %;1,1 %;2,6 %;11,3 %;2,2 %;-6,6 %;-2,7 %;-0,2 %;11,7 %;7,2 %;7,0 %;13,9 %;5,1 %;-1,0 %;8,4 %;0,0 %;-75,0 %;163,4 %;14,2 %;35,4 %;8,0 %
Niger;Africa;; - - -;47,8 %;132,8 %;-65,1 %;110,1 %;-19,7 %;-24,4 %;-50,6 %;0,0 %;-4,2 %;-5,9 %;-2,9 %;15,1 %;-0,8 %;-4,7 %;22,8 %;-0,8 %;12,3 %;-4,9 %;-12,0 %;-71,1 %;-2,3 %;185,9 %;-12,6 %;54,5 %
